Date,Predicted,Actual
2019-02-14,0.4980860948562622,0.49
2019-02-15,0.48780447244644165,0.5
2019-02-18,0.5120788216590881,0.49
2019-02-19,0.5567851662635803,0.48
2019-02-20,0.5377026200294495,0.5
2019-02-21,0.475619912147522,0.55
2019-02-22,0.5176200866699219,0.5
2019-02-25,0.5049516558647156,0.5
2019-02-26,0.5322756171226501,0.49
2019-02-27,0.48939892649650574,0.5
2019-03-01,0.5553090572357178,0.47
2019-03-05,0.5174143314361572,0.55
2019-03-06,0.527068555355072,0.53
2019-03-07,0.5248742699623108,0.47
2019-03-08,0.4485015869140625,0.52
2019-03-11,0.573993980884552,0.5
2019-03-12,0.49034741520881653,0.52
2019-03-13,0.48849526047706604,0.58
2019-03-14,0.44369077682495117,0.45
2019-03-15,0.5278241038322449,0.58
2019-03-18,0.5301897525787354,0.44
2019-03-20,0.4714105725288391,0.47
2019-03-22,0.38119661808013916,0.48
2019-03-25,0.49404987692832947,0.47
2019-03-26,0.5100253820419312,0.52
2019-03-27,0.4783809781074524,0.58
2019-03-28,0.5232082009315491,0.56
2019-04-01,0.4749751091003418,0.5
2019-04-02,0.5324388146400452,0.59
2019-04-03,0.5124564170837402,0.46
2019-04-04,0.4875582456588745,0.51
2019-04-05,0.5166528820991516,0.48
2019-04-08,0.467411071062088,0.46
2019-04-09,0.4999544322490692,0.5
2019-04-10,0.5412595868110657,0.51
2019-04-11,0.4796169400215149,0.52
2019-04-12,0.5220074653625488,0.51
2019-04-16,0.43889686465263367,0.52
2019-04-18,0.49813270568847656,0.55
2019-04-22,0.508627712726593,0.47
2019-04-23,0.5399153828620911,0.51
2019-04-24,0.524213433265686,0.5
2019-04-25,0.5074609518051147,0.56
2019-04-26,0.516399621963501,0.55
2019-04-30,0.4775826036930084,0.53
2019-05-02,0.4980595111846924,0.49
2019-05-03,0.4550079107284546,0.47
2019-05-06,0.5253430604934692,0.48
2019-05-07,0.5069468021392822,0.56
2019-05-08,0.49612218141555786,0.51
2019-05-09,0.5010569095611572,0.47
2019-05-10,0.519024133682251,0.56
2019-05-13,0.4975844621658325,0.51
2019-05-14,0.5755135416984558,0.51
2019-05-15,0.49067047238349915,0.51
2019-05-16,0.5488622784614563,0.47
2019-05-17,0.5431244373321533,0.58
2019-05-20,0.5246437788009644,0.63
2019-05-21,0.4992663860321045,0.53
2019-05-22,0.5469587445259094,0.47
2019-05-23,0.49905064702033997,0.54
2019-05-24,0.4825103282928467,0.45
2019-05-27,0.4836524426937103,0.49
2019-05-28,0.5176711082458496,0.5700000000000001
2019-05-29,0.5413624048233032,0.52
2019-05-30,0.5101435780525208,0.5
2019-05-31,0.4962940216064453,0.49
2019-06-03,0.4932025969028473,0.5
2019-06-04,0.5109078884124756,0.51
2019-06-06,0.4676358997821808,0.52
2019-06-07,0.5593026876449585,0.51
2019-06-10,0.4224786162376404,0.5
2019-06-11,0.5387046933174133,0.51
2019-06-12,0.49035272002220154,0.49
2019-06-13,0.5180711150169373,0.52
2019-06-14,0.4983670711517334,0.49
2019-06-17,0.5146851539611816,0.44
2019-06-18,0.49909403920173645,0.5
2019-06-19,0.4917140305042267,0.5
2019-06-20,0.5035585165023804,0.47
2019-06-21,0.5190009474754333,0.6
2019-06-24,0.49872007966041565,0.49
2019-06-25,0.5020676255226135,0.53
2019-06-27,0.513411283493042,0.49
2019-06-28,0.4865347146987915,0.56
2019-07-01,0.4581160843372345,0.47
2019-07-02,0.47948986291885376,0.52
2019-07-03,0.5034908652305603,0.49
2019-07-04,0.5221683979034424,0.5
2019-07-05,0.4831531047821045,0.46
2019-07-08,0.5291194915771484,0.49
2019-07-09,0.49446195363998413,0.45
2019-07-10,0.5689635872840881,0.48
2019-07-11,0.6351252794265747,0.5700000000000001
2019-07-12,0.4896538257598877,0.48
2019-07-15,0.48096808791160583,0.51
2019-07-16,0.544737696647644,0.51
2019-07-17,0.5179672837257385,0.49
2019-07-18,0.5477685928344727,0.5
2019-07-19,0.5030770301818848,0.47
2019-07-22,0.6125590205192566,0.49
2019-07-23,0.5512059330940247,0.5
2019-07-24,0.5473528504371643,0.43
2019-07-25,0.5020131468772888,0.5
2019-07-29,0.510329008102417,0.49
2019-07-30,0.49712151288986206,0.49
2019-07-31,0.5033928751945496,0.6
2019-08-01,0.4908953607082367,0.44
2019-08-02,0.5268267393112183,0.55
2019-08-05,0.46693843603134155,0.4
2019-08-06,0.4743076264858246,0.6
2019-08-07,0.5457125902175903,0.52
2019-08-08,0.5744839310646057,0.52
2019-08-09,0.48713842034339905,0.59
2019-08-13,0.5685216784477234,0.49
2019-08-14,0.4790734648704529,0.54
2019-08-16,0.5520075559616089,0.51
2019-08-19,0.4861413836479187,0.51
2019-08-20,0.5073490142822266,0.49
2019-08-21,0.5274389386177063,0.49
2019-08-22,0.5263649225234985,0.43
2019-08-23,0.5445273518562317,0.46
2019-08-26,0.513964056968689,0.5700000000000001
2019-08-27,0.5479997396469116,0.49
2019-08-28,0.470059871673584,0.49
2019-08-29,0.4792759120464325,0.48
2019-08-30,0.4991331398487091,0.55
2019-09-03,0.5272696614265442,0.48
2019-09-04,0.46411025524139404,0.53
2019-09-05,0.4686600863933563,0.51
2019-09-06,0.5352116823196411,0.48
2019-09-09,0.49354955554008484,0.5
2019-09-11,0.5099350810050964,0.49
2019-09-12,0.4527040123939514,0.53
2019-09-13,0.4889533221721649,0.5
2019-09-16,0.537036657333374,0.49
2019-09-17,0.4709976613521576,0.41
2019-09-18,0.5951703190803528,0.5700000000000001
2019-09-19,0.5889431238174438,0.47
2019-09-20,0.5192376971244812,0.5
2019-09-23,0.4411992132663727,0.66
2019-09-24,0.5184316039085388,0.46
2019-09-25,0.5181645750999451,0.42
2019-09-26,0.4572271704673767,0.54
2019-09-27,0.55210280418396,0.54
2019-09-30,0.5098069906234741,0.49
2019-10-01,0.4784115254878998,0.48
2019-10-03,0.538582980632782,0.49
2019-10-04,0.5110170245170593,0.48
2019-10-07,0.5289967656135559,0.53
2019-10-09,0.480709969997406,0.46
2019-10-10,0.5449099540710449,0.49
2019-10-11,0.5414168834686279,0.56
2019-10-14,0.5000494718551636,0.47
2019-10-15,0.49617594480514526,0.5
2019-10-16,0.564209520816803,0.52
2019-10-17,0.5132814049720764,0.5
2019-10-18,0.48637962341308594,0.53
2019-10-22,0.5022988319396973,0.64
2019-10-23,0.4805026948451996,0.52
2019-10-24,0.4899783134460449,0.46
2019-10-25,0.5078905820846558,0.53
2019-10-27,0.508608341217041,0.5
2019-10-29,0.5216696858406067,0.51
2019-10-30,0.5702840685844421,0.5
2019-10-31,0.5706414580345154,0.49
2019-11-01,0.47980302572250366,0.51
2019-11-04,0.4653988182544708,0.5
2019-11-05,0.5279848575592041,0.46
2019-11-06,0.4618696868419647,0.48
2019-11-07,0.555486798286438,0.58
2019-11-08,0.6045185923576355,0.52
2019-11-11,0.5242536067962646,0.62
2019-11-13,0.5382142663002014,0.87
2019-11-14,0.4885495603084564,0.62
2019-11-15,0.47864508628845215,0.39
2019-11-18,0.4659002721309662,0.5
2019-11-19,0.5614812970161438,0.5700000000000001
2019-11-20,0.5516594052314758,0.5
2019-11-21,0.5379045605659485,0.5
2019-11-22,0.4161956012248993,0.46
2019-11-25,0.4907607138156891,0.6
2019-11-26,0.4901100993156433,0.43
2019-11-27,0.5124805569648743,0.59
2019-11-28,0.4714418649673462,0.45
2019-11-29,0.5142857432365417,0.56
2019-12-02,0.49170878529548645,0.54
2019-12-03,0.4798576235771179,0.43
